"oficina_productora","serie","subserie","descripcion","idioma","medio_conservacion","formato","informacion_publicada"
"RTVCPLAY","Actas","Actas Reuniòn de Publicación","Contienen información evidencial de la gestión misional de la entidad, se definen los contenidos y la programación de acuerdo con los objetivos de la entidad","Español",,"Formato controlado
Correo electronico","Disponible"
"RTVCPLAY","Licencias","Licencias de Publicación","contienen la información correspondiente a derechos de programas realizados, producidos y  publicados para la Plataforma Digital.","Español",,"Papel
Documento de texto","Disponible"
"RTVCPLAY","Planes","Planes de Publicación","Los Planes de Publicación contienen información de acuerdo al cumplimiento con los objetivos planteados por la entidad.","Español",,"Excel","Disponible"
"Subgerencia de Televisión","Estudios de Análisis De Audiencias","Estudios de Análisis De Audiencias de Televisión","Se registra información sobre la audiencia de televisión, evidenciando el consumo del producto audiovisual del interés social.","Español",,"Excel","Disponible"
"Subgerencia de Televisión","Informes","Informes a Entidades Nacionales","Documento en el cual se refleja la gestión administrativa, actividades realizadas y la situación en general de RTVC ante algunas Entidades Nacionales.","Español",,"Word
Papel
PDF","Disponible"
"Señal Colombia","Actas","Actas Comité de Programación","Contienen información que sirve como evidencia de la gestión misional de la entidad, se definen los contenidos y la programación de acuerdo con los objetivos de la entidad.","Español",,"Papel","Disponible"
"Señal Colombia","Licencias","Licencias de emisión","Documento para la adquisición de programas por la modalidad de licencias de emisión, para complementar la programación propia, con el fin de dar cumplimiento a la filosofía y política del canal.","Español",,"Word
PDF","Disponible"
"Señal Colombia","Manuales","Manual General de Producción","Descripción detallada de trabajo para los productores y coproductores externos de señal Colombia, donde se menciona las fases y las actividades que se deben realizar de forma secuencial, así como las condiciones y requisitos mínimos de calidad.","Español",,"Word
PDF","Disponible"
"Señal Colombia","Piezas Publicitarias","N/A","Contienen información en donde se definen los contenidos y la programación de acuerdo con la misión y los objetivos de la entidad","Español",,"Video","Disponible"
"Señal Colombia","Planes","Planes de Programación","Contienen la programación y parrilla a emitir de acuerdo con los objetivos planteados por la entidad.","Español",,"Excel - PDF - CSV","Disponible"
"Canal Institucional","Manuales","Manual General de producción","Descripción detallada de trabajo para los productores y coproductores externos de señal Colombia, donde se menciona las fases y las actividades que se deben realizar de forma secuencial, así como las condiciones y requisitos mínimos de calidad.","Español",,"Word
PDF","Publicado"
"Canal Institucional","Planes","Planes de Programación","Contienen la programación y parrilla a emitir de acuerdo con los objetivos planteados por la entidad.","Español",,"Excel - PDF - CSV","Disponible"
"Producción TV","Proyectos","Proyectos Especiales","Los Proyectos Especiales contienen información sobre la administración de los recursos técnicos y humanos necesarios para la producción de contenidos audiovisuales para los diferentes clientes de acuerdo con sus necesidades o presupuestos, incluidos en los contratos y/o convenios interadministrativos.","Español",,"PDF
Word
Excel
mp3","Disponible"
"Producción TV","Proyectos","Proyectos Institucionales","Los Proyectos Institucionales contienen información sobre la administración de los recursos técnicos y humanos necesarios para la producción de contenidos audiovisuales para los diferentes clientes de acuerdo con sus necesidades o presupuestos, incluidos en los contratos y/o convenios interadministrativos.","Español",,"PDF
Word
Excel
mp3","Disponible"
"Gestión de Emisión TV","Codificación de Comerciales","N/A","Consiste en la asignación de un código especifico a un material o archivo audiovisual para ser ingestado en el sistema de emisión, son documentos con valores primarios de tipo administrativo y con fines informativos, garantizan la correcta emisión de contenidos de televisión de la entidad.","Español",,"Excel","Disponible"
"Gestión de Emisión TV","Registros","Registros de Emisión","Registro de las novedades y de la entrega de grabaciones de las emisiones de los dos canales de televisión manejados por la entidad.","Español",,"Excel
Documento de Texto","Disponible"
"Subgerencia de Radio","Estudios de Análisis De Audiencias","Estudios de Análisis de Audiencias de Radio","Los Estudios de Análisis de Audiencias de Radio contienen los datos en donde se da a conocer la opinión, necesidades y expectativas de las audiencias","Español",,"PDF","Disponible"
