"cname","uid","uid_size_bytes","uid_size_gigabytes"
"www.datos.gov.co","aaea-ivjn","565,248","0.00052642822"
"www.datos.gov.co","b2wu-tkvy","565,248","0.00052642822"
"www.datos.gov.co","wvtq-u6vk","565,248","0.00052642822"
"www.datos.gov.co","x4tk-77mj","565,248","0.00052642822"
"www.datos.gov.co","7pyx-j3k3","565,248","0.00052642822"
"www.datos.gov.co","5h8y-kv4j","557,056","0.00051879883"
"www.datos.gov.co","6w6s-5uhv","557,056","0.00051879883"
"www.datos.gov.co","xeb3-fi75","557,056","0.00051879883"
"www.datos.gov.co","ypnh-8xqw","557,056","0.00051879883"
"www.datos.gov.co","d856-btkz","557,056","0.00051879883"
"www.datos.gov.co","tvwp-62pe","557,056","0.00051879883"
"www.datos.gov.co","bzhd-5hzb","557,056","0.00051879883"
"www.datos.gov.co","9zpv-zmiz","557,056","0.00051879883"
"www.datos.gov.co","qsh3-vq78","557,056","0.00051879883"
"www.datos.gov.co","ctve-4atq","557,056","0.00051879883"
"www.datos.gov.co","y6sj-pg3y","557,056","0.00051879883"
"www.datos.gov.co","npi5-qa65","557,056","0.00051879883"
"www.datos.gov.co","xt99-9y92","557,056","0.00051879883"
"www.datos.gov.co","98ms-bv6s","557,056","0.00051879883"
"www.datos.gov.co","wjci-xt2t","557,056","0.00051879883"
"www.datos.gov.co","26um-zdwn","557,056","0.00051879883"
"www.datos.gov.co","qca8-2umd","557,056","0.00051879883"
"www.datos.gov.co","jj2d-tee6","557,056","0.00051879883"
"www.datos.gov.co","y4aj-vzwx","557,056","0.00051879883"
"www.datos.gov.co","sjse-yf5j","557,056","0.00051879883"
"www.datos.gov.co","3fnf-a9p3","557,056","0.00051879883"
"www.datos.gov.co","eg5z-8rr6","557,056","0.00051879883"
"www.datos.gov.co","2ibc-s4yi","557,056","0.00051879883"
"www.datos.gov.co","fvnt-frpb","557,056","0.00051879883"
"www.datos.gov.co","dmdp-cni6","557,056","0.00051879883"
"www.datos.gov.co","g5m5-8j4h","557,056","0.00051879883"
"www.datos.gov.co","dp87-fshc","548,864","0.00051116943"
"www.datos.gov.co","wri3-jiix","548,864","0.00051116943"
"www.datos.gov.co","bx99-zr8d","548,864","0.00051116943"
"www.datos.gov.co","gcnk-gn5g","548,864","0.00051116943"
"www.datos.gov.co","rit6-uiwa","548,864","0.00051116943"
"www.datos.gov.co","4bhj-4ydn","548,864","0.00051116943"
"www.datos.gov.co","d9hg-maei","548,864","0.00051116943"
"www.datos.gov.co","9tdt-6g7u","548,864","0.00051116943"
"www.datos.gov.co","qzkk-d4vp","548,864","0.00051116943"
"www.datos.gov.co","x783-krje","548,864","0.00051116943"
"www.datos.gov.co","vsdh-6rhp","548,864","0.00051116943"
"www.datos.gov.co","k452-3aqu","548,864","0.00051116943"
"www.datos.gov.co","r49x-ajv7","548,864","0.00051116943"
"www.datos.gov.co","fs36-azrv","548,864","0.00051116943"
"www.datos.gov.co","vykx-dz82","548,864","0.00051116943"
"www.datos.gov.co","g7eq-ghg3","548,864","0.00051116943"
"www.datos.gov.co","gyyd-6h6d","548,864","0.00051116943"
"www.datos.gov.co","8tuu-3t8t","548,864","0.00051116943"
"www.datos.gov.co","acdj-kesr","548,864","0.00051116943"
"www.datos.gov.co","5ifz-ei9x","548,864","0.00051116943"
"www.datos.gov.co","2gks-9fnd","548,864","0.00051116943"
"www.datos.gov.co","hqqj-89jy","548,864","0.00051116943"
"www.datos.gov.co","9a89-px8u","540,672","0.00050354004"
"www.datos.gov.co","wnb6-pyi5","540,672","0.00050354004"
"www.datos.gov.co","mdcv-rucp","540,672","0.00050354004"
"www.datos.gov.co","pq74-vsy5","540,672","0.00050354004"
"www.datos.gov.co","a6f2-etg2","540,672","0.00050354004"
"www.datos.gov.co","rnpa-nr9g","540,672","0.00050354004"
"www.datos.gov.co","kzwf-e6r7","540,672","0.00050354004"
"www.datos.gov.co","t3ws-gv3u","540,672","0.00050354004"
"www.datos.gov.co","vinf-2275","540,672","0.00050354004"
"www.datos.gov.co","7yy9-uru3","540,672","0.00050354004"
"www.datos.gov.co","dxq7-fh7w","540,672","0.00050354004"
"www.datos.gov.co","urvy-i3ii","540,672","0.00050354004"
"www.datos.gov.co","jnb2-smyu","540,672","0.00050354004"
"www.datos.gov.co","9wyv-29x5","540,672","0.00050354004"
"www.datos.gov.co","udu3-4czz","540,672","0.00050354004"
"www.datos.gov.co","pnmg-36gx","540,672","0.00050354004"
"www.datos.gov.co","2nxy-kkzd","540,672","0.00050354004"
"www.datos.gov.co","snu8-n63b","540,672","0.00050354004"
"www.datos.gov.co","vizd-n59r","532,480","0.00049591064"
"www.datos.gov.co","irkd-g4fa","532,480","0.00049591064"
"www.datos.gov.co","44er-rqw9","532,480","0.00049591064"
"www.datos.gov.co","s5nz-dfuu","532,480","0.00049591064"
"www.datos.gov.co","aw6m-s7ua","532,480","0.00049591064"
"www.datos.gov.co","x7n4-kbta","532,480","0.00049591064"
"www.datos.gov.co","u5ji-5rqg","532,480","0.00049591064"
"www.datos.gov.co","sxrt-fcjy","524,288","0.00048828125"
"www.datos.gov.co","gnvn-nmbt","524,288","0.00048828125"
"www.datos.gov.co","p9n2-9qsb","524,288","0.00048828125"
"www.datos.gov.co","ese3-e6sh","524,288","0.00048828125"
"www.datos.gov.co","qa85-kpfw","524,288","0.00048828125"
"www.datos.gov.co","4tzz-2g8i","524,288","0.00048828125"
"www.datos.gov.co","uq9b-qsw7","524,288","0.00048828125"
"www.datos.gov.co","ngaz-w3vh","524,288","0.00048828125"
